_id,글램핑내부시설,기타부대시설,기타정보,기타주변이용가능시설,문의처,바닥형태(단위:면),사이트간격,사이트크기,안전시설현황,예약방법,운영기간,운영일,주변이용가능시설,주소,주요시설,카라반내부시설,캠프이름,캠핑장비대여,캠핑장유형,캠핑장환경,홈페이지,화로대
29,"TV
에어컨
냉장고
유무선인터넷
난방기구",,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-382-0007,테크 (24),3M,4 X 6 : 24개,"소화기 (40)
화재감지기 (7)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,산책로,경북 군위군 부계면 남산리 1138-4번지,일반야영장(14면) 자동차야영장사이트(10면) 글램핑시설(7면),,80SS오토캠핑장,"릴선
화로대
난방기구
식기","일반야영장,자동차야영장,글램핑",숲/민간,홈페이지바로가기새창으로,개별
31,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-733-7770,,,,,전화,,,,강원도 원주시 지정면 안창리  산 56-3,,,A&J오토캠핑장,,자동차야영장,/민간,홈페이지바로가기새창으로,
36,"침대
에어컨
냉장고
유무선인터넷
난방기구",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-942-5006,테크 (9),3M,3 X 6 : 9개,"소화기 (22)
방화수 (1)
방화사 (1)
화재감지기 (18)",,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,어린이놀이시설",김천시 대덕면 남김천대로 160,일반야영장(9면) 글램핑시설(11면),,Camp1950by민들레울,"텐트
릴선
화로대
난방기구
식기
침낭","일반야영장,글램핑",숲/민간,,개별
37,침대 TV 에어컨 냉장고 유무선인터넷 난방기구,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-8885-8592,,,,"소화기 (8)
화재감지기 (6)",온라인실시간예약,"봄,여름,가을",평일+주말,"산책로,수상레저,낚시,해수욕",충남 태안군 남면 몽산리 596,글램핑시설(5면),,CLUB596,,"일반야영장,글램핑",해변/민간,홈페이지바로가기새창으로,개별
38,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-7935-6355,파쇄석 (20),,9 X 9 : 30개,소화기 (20),,"봄,여름,가을",평일+주말,"계곡물놀이,낚시,청소년체험시설",경기도 연천군 중면 군중로 399,일반야영장(30면),,DMZ마루캠핑,,자동차야영장,강/민간,홈페이지바로가기새창으로,
39,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4761-7283,맨흙 (13),,,소화기 (7),,"봄,여름,가을",평일+주말,계곡물놀이,강원도 철원군 철원읍 독서당길 225-134  DMZ캠핑장,일반야영장(13면),,DMZ캠핑장,,자동차야영장,"산,계곡/민간",,개별
42,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,070-4227-7788,,,,,,"봄,여름,가을",주말,,전라남도 영암군 삼호읍 삼포리  1894,자동차야영장사이트(40면) 카라반(6면),,F1오토캠핑장,,일반야영장,해변/지자체,홈페이지바로가기새창으로,개별
47,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"031-958-9919,010-3403-1773",,,,,온라인실시간예약,,평일+주말,,경기 파주시 적성면 감악산로 1270-74 JB 캠핑하우스,,,JB캠핑하우스,,자동차야영장,/민간,홈페이지바로가기새창으로,개별
51,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-375-3215,010-4411-5087",자갈 (20),,12 X 9 : 20개,소화기 (20),전화,"봄,여름,가을",평일+주말,계곡물놀이,강원 영월군 김삿갓면 김삿갓로 638,자동차야영장사이트(20면),,NajostCamp(나조스트캠프),"릴선
화로대",일반야영장,계곡/민간,홈페이지바로가기새창으로,개별
56,"침대
냉장고
난방기구","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),"펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",033-344-3391,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"산책로,강/물놀이",강원도 횡성군 갑천면정포로430번길 113  THATS CAMPING 횡성자연휴양림야영장,자동차야영장사이트(60면) 글램핑시설(5면),,THATSCAMPING횡성자연휴양림야영장,,"일반야영장,글램핑",산/민간,홈페이지바로가기새창으로,개별
57,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"061-641-1490,010-3642-1490",테크 (28),3M,"4 X 4 : 15개
4 X 8 : 13개",소화기 (18),,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,해수욕,청소년체험시설",전남 여수시 돌산읍 상하동길 268,일반야영장(9면) 자동차야영장사이트(19면) 카라반(2면),"침대
TV
에어컨
냉장고
유무선인터넷
난방기구",TheStar오토캠핑장,화로대,"일반야영장,자동차야영장,카라반","해변,섬,숲/민간",홈페이지바로가기새창으로,개별
59,,,반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-774-7771,,,,,전화,,,,강원도 원주시 지정면 지정로 1393,,,VIP레저타운,,자동차야영장,/민간,홈페이지바로가기새창으로,
60,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-3878-2927,파쇄석 (28),,,소화기 (15),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,농어촌체험시설",경상남도 밀양시 단장면 고례리  1408-5,자동차야영장사이트(28면),,VIP오토캠핑장,,자동차야영장,"산,계곡/민간",홈페이지바로가기새창으로,개별
61,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"055-974-3642,010-2929-3641",테크 (15),5M,,"소화기 (15)
방화수 (1)
화재감지기 (15)",전화,"봄,여름,가을,겨울",평일+주말,"수상레저,어린이놀이시설",경상남도 산청군 산청읍 내리  259-5,일반야영장(1면) 글램핑시설(14면),,W글램핑,,"일반야영장,글램핑",강/민간,홈페이지바로가기새창으로,개별
62,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-5097-6446,,,,,전화,,,,경기 연천군 미산면 청정로 1049,,,YC글램핑,,일반야영장,/민간,홈페이지바로가기새창으로,
63,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-262-5656,,,,,현장,,,,강원도 춘천시 동산면 종자리로 224-24,,,YELLOWHILL,,자동차야영장,/민간,,
66,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-9076-3801,파쇄석 (13),,7 X 20 : 13개,소화기 (8),,"봄,여름,가을",평일+주말,,인천광역시 옹진군 영흥면 내리  1212-52,일반야영장(13면),,㈜씨스테이야영장,,자동차야영장,섬/민간,,개별
67,침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,064-784-3200,,,,,,"봄,여름,가을,겨울",평일+주말,,제주특별자치도 제주시 구좌읍 덕천리  1288-2,글램핑시설(81면),,(주)제주글램핑,,일반야영장,"산,숲/민간",홈페이지바로가기새창으로,불가
69,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-9704-2582,파쇄석 (19) 테크 (3),,6 X 7 : 22개,소화기 (7),,"봄,여름,가을,겨울",평일+주말,수상레저,경남 합천군 봉산면 인덕로 930,자동차야영장사이트(22면),,가람관광농원,,일반야영장,"산,숲,호수/민간",홈페이지바로가기새창으로,개별
70,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"031-533-7410,010-9031-7410",,,,소화기 (90),,"봄,여름,가을,겨울",평일+주말,"산책로,강/물놀이,농어촌체험시설",경기도 포천시 창수면 추동리  821,,,가래골농원캠핑장,릴선,일반야영장,"산,숲/민간",홈페이지바로가기새창으로,개별
71,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-5431-9613,"파쇄석 (4)
자갈 (21)",3M,15 X 8 : 27개,소화기 (15) 방화사 (1),전화,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",충청남도 예산군 덕산면 둔리  525-34,일반야영장(21면) 글램핑시설(2면) 개인카라반사이트(4면),,가루실캠프,,일반야영장,숲/민간,홈페이지바로가기새창으로,공동취사장
73,,어드벤처,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-435-6034,테크 (38),,"3 X 2 : 28개
3 X 3 : 10개",소화기 (20),현장,"봄,여름,가을",평일+주말,,강원도 홍천군 두촌면 가리산길 426  가리산자연휴양림 야영장,일반야영장(38면),,가리산자연휴양림야영장,,자동차야영장,"산,숲/지자체",홈페이지바로가기새창으로,개별
75,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-651-3031,파쇄석 (20) 테크 (11),,"3 X 3 : 6개
3 X 6 : 5개",,전화,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",충청북도 제천시 자작동  242,자동차야영장사이트(31면),,가마실캠핑장,화로대,일반야영장,"산,숲,계곡,호수/민간",홈페이지바로가기새창으로,개별
76,침대 냉장고,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-973-9981,,,,"소화기 (31)
화재감지기 (31)",온라인실시간예약,"봄,여름,가을,겨울",,산책로,경상북도 칠곡군 가산면 학하리  1178-1,글램핑시설(26면) 카라반(5면),"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",가산글램핑,,"일반야영장,카라반,글램핑",숲/민간,홈페이지바로가기새창으로,개별
77,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-880-8300,테크 (17),3M,"4 X 7 : 71개
3 X 5 : 46개
3 X 5 : 66개","소화기 (34)
방화사 (344)",온라인실시간예약,"봄,여름,가을",평일+주말,산책로,경상북도 칠곡군 동명면 한티로 1034  가산산성야영장,일반야영장(200면),,가산산성야영장,,일반야영장,산/지자체,홈페이지바로가기새창으로,개별
80,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"055-934-2221,010-3574-2214",잔디 (9) 파쇄석 (22),,"10 X 10 : 9개
8 X 7 : 22개","소화기 (39)
방화수 (1)",,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,청소년체험시설",경상남도 합천군 가야면 야천리  산 861-1,자동차야영장사이트(39면),,가야권역소리마실영농조합법인,,일반야영장,"산,계곡/민간",홈페이지바로가기새창으로,개별
81,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-332-9100,,,,,전화,,,,경상남도 김해시 삼방동  826,,,가야랜드달빛야영장,,일반야영장,/지자체,홈페이지바로가기새창으로,
84,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-762-2000,"파쇄석 (36)
테크 (10)",3M,6 X 8 : 46개,소화기 (30) 방화수 (30) 방화사 (30),,"봄,여름,가을,겨울",주말,"산책로,낚시,어린이놀이시설",경상북도 경주시 안강읍 하곡리  632,일반야영장(46면),,가온누리캠핑체험장,,일반야영장,숲/민간,홈페이지바로가기새창으로,개별
85,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-434-6633,잔디 (2) 테크 (3),,3 X 6 : 5개,소화기 (6),,"봄,여름,가을,겨울",평일+주말,"산책로,수상레저,낚시",전남 강진군 대구면 저두바닷길 3,일반야영장(5면) 카라반(6면),"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",가우도카라반펜션,,"일반야영장,카라반",해변/민간,홈페이지바로가기새창으로,개별
86,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-7660-5379,파쇄석 (10),3M,,소화기 (8),전화,"봄,여름,가을",평일+주말,"계곡물놀이,낚시,어린이놀이시설",경상북도 문경시 가은읍 원북리 177-6,일반야영장(10면),,가은해솔캠핑장,,일반야영장,숲/민간,홈페이지바로가기새창으로,개별
87,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,1670-3639-,파쇄석 (29),,,소화기 (35),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"낚시,해수욕",전북 부안군 변산면 변산로 2054,자동차야영장사이트(29면) 카라반(5면),,변산오토캠핑장,화로대,"자동차야영장,카라반",해변/지자체,홈페이지바로가기새창으로,개별
90,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-591-1585,테크 (25),,,소화기 (9),전화,"봄,여름,가을",평일+주말,계곡물놀이,경기도 남양주시 수동면 수산리  591-2,일반야영장(25면),,가족쉼터,,자동차야영장,"숲,계곡/지자체",,개별
92,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-3094-4235,파쇄석 (18),,,"소화기 (18)
방화수 (1)
방화사 (1)
화재감지기 (10)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,경기 성남시 수정구 달래내로221번길 17-5 (금토동) 청계산골든밸리캠핑장,일반야영장(18면) 글램핑시설(7면),,청계산골든밸리가족캠핑장,,"일반야영장,글램핑","산,숲,도심/민간",홈페이지바로가기새창으로,개별
95,,참숯가마,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-8436-6906,파쇄석 (8),1M,,소화기 (10),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,대구광역시 달성군 가창면 삼산리  128,일반야영장(8면) 자동차야영장사이트(8면),,가창농원야영장,,"일반야영장,자동차야영장","산,숲/민간",홈페이지바로가기새창으로,개별
102,,통나무 방갈로 2개동 운영중 별도문의,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-582-7883,파쇄석 (23),,,"소화기 (16)
방화수 (1)
화재감지기 (2)",온라인실시간예약,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경기도 가평군 가화로 988-0  가평 사계절캠핑장,일반야영장(25면) 자동차야영장사이트(23면) 개인카라반사이트(23면),,가평사계절캠핑장,화로대,"일반야영장,자동차야영장","숲,계곡,도심/민간",홈페이지바로가기새창으로,개별
103,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-5380-5559,"파쇄석 (4)
테크 (6)",2M,3 X 6 : 10개,소화기 (8),,"봄,여름,가을",주말,,경기도 가평군 상면 항사리  427-6 외2필지,일반야영장(10면),,가평사과나무캠핑장,,자동차야영장,"산,숲/민간",홈페이지바로가기새창으로,개별
119,침대 TV 에어컨 냉장고 난방기구 취사도구 내부화장실,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,0505-356-9520,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,경기 가평군 조종면 운악청계로 424 가평운악홀리데이 카라반파크,글램핑시설(15면) 카라반(15면),"침대
TV
에어컨
냉장고
난방기구
취사도구
내부화장실
내부샤워실",가평운악홀리데이캠핑장(가평운악홀리데이카라반파크),,글램핑,산/지자체,홈페이지바로가기새창으로,개별
121,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"031-584-2963,010-9186-3946","파쇄석 (4)
테크 (4)",2M,4 X 6 : 4개,소화기 (4) 화재감지기 (4),,"봄,여름,가을",평일+주말,"계곡물놀이,운동장,강/물놀이,농어촌체험시설",경기 가평군 설악면 장수로79번길 63-18,글램핑시설(4면),,가평황토은글램핑,,글램핑,"산,숲,계곡/민간",홈페이지바로가기새창으로,개별
123,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-530-5738,테크 (13),,,,전화,"봄,여름,가을,겨울",평일+주말,"산책로,강/물놀이",전라남도 해남군 계곡면 산골길 306  흑석산자연휴양림,자동차야영장사이트(13면),,흑석산자연휴양림,,일반야영장,"산,숲/지자체",홈페이지바로가기새창으로,
124,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-679-8799,,,,,전화,,,,경상북도 봉화군 춘양면 석현리 573-2,,,각화산캠핑장,,일반야영장,/민간,,
125,,무선인터넷 일부이용가능 / 정자 5개 / 캠핑장 내 골프연습용 타석 2개,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-536-8868,파쇄석 (12),,,"소화기 (6)
방화사 (1)
화재감지기 (4)",,"봄,여름,가을,겨울",주말,"계곡물놀이,산책로,청소년체험시설",경기도 포천시 이동면 도평리 572-3,일반야영장(12면),,주식회사클럽프라비다(각흘봉관광농원),,일반야영장,"산,숲,계곡/민간",,개별
127,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,,,,,온라인실시간예약,,,,충청남도 서산시 부석면 간월도리 21-20,,,간월도캠핑장,,일반야영장,/지자체,홈페이지바로가기새창으로,
129,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-2476-3657,파쇄석 (3) 테크 (9),,5 X 7 : 12개,소화기 (6),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,청소년체험시설",경기도 양평군 청운면 신론리  189,일반야영장(12면),,갈기산펜션캠핑장,,자동차야영장,"산,계곡/민간",홈페이지바로가기새창으로,개별
131,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,,,,,온라인실시간예약,,,계곡물놀이,강원도 양양군 서면 구룡령로 1103-12  갈천 오토캠핑장,,,갈천오토캠핑장,,일반야영장,"산,계곡/민간",홈페이지바로가기새창으로,
132,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"010-4504-9005,010-6409-0061",파쇄석 (20),,6 X 7 : 20개,"소화기 (10)
방화수 (1)
방화사 (1)",,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,어린이놀이시설",경상북도 청도군 운문면 신원리  75-1,일반야영장(20면),,감이야기캠핑장,"텐트
릴선
화로대
식기",일반야영장,"산,계곡/민간",홈페이지바로가기새창으로,개별
