_id,리뷰수,사업체,이미지,전화번호,조회수,지역이름,추천수,캠핑장설명,캠핑장이름,캠핑장정보
11,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2873/thumb/thumb_720_7673r8b4qvk8LfUQkylQnZum.jpg"" height=""180"" width=""280"">",010-4619-3827,19796,경남 남해군 미조면 남해대로397번길 18 ,2,"캠핑장정보 더보기 천하몽돌 야영장 아담하고 조용한 바다가의 위치하고 있으며, 무성하고 오래된 나무들이 주는 자연그늘막이 많아 타프를 치...",[경상남도 남해군] 천하마을야영장 ,"

전기
와이파이
장작판매
물놀이장
마트.편의점

"
12,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7028/thumb/thumb_720_8922K1m8dlvcQp7G7gFDWozG.jpg"" height=""180"" width=""280"">",010-8737-4355,10960,경기 연천군 전곡읍 양원로 108-37 연천낚시터식당,1,캠핑장정보 더보기 ,[경기도 연천군] 미라클캠프,"

전기
와이파이
장작판매
온수
물놀이장
운동시설

"
13,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/100538/thumb/thumb_720_64154JbGzbuxSGrapbvtvuXZ.jpg"" height=""180"" width=""280"">",010-5106-8138,327,경남 남해군 설천면 설천로695번길 35 ,1,캠핑장정보 더보기 아름다운 자연 남해에 자리잡고 있으며 조용하고 맑은 공기속에서 힐링의 시간을 가질 수 있습니다.,[경상남도 남해군] 남해 포레스 오토캠핑장,"

전기
와이파이
온수

"
14,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,2495,강원 영월군 주천면 솔치로 240-70 ,0,캠핑장정보 더보기 ,[강원도 영월군] 아리아리 숲속의 야영장,None
15,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,3252,경상북도 상주시 화북면 장암리 982-2  ,0,캠핑장정보 더보기 ,[경상북도 상주시] 속리산 시어동 캠핑장,None
16,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,2675,강원 횡성군 서원면 서원서로102번길 3-18 ,0,캠핑장정보 더보기 ,[강원도 횡성군] 봉즈살롱,None
17,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,3372,경남 사천시 해안관광로 68-20 (실안동) ,1,캠핑장정보 더보기 ,[경상남도 사천시] 산으로 간 낚시꾼 캠핑장,None
18,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,3719,제주특별자치도 서귀포시 대정읍 형제해안로 284 ,0,캠핑장정보 더보기 ,[제주도 서귀포시] (주)젠하이더웨이 트로컬하이드어웨이,None
19,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,6322,경북 경주시 산내면 문복로 956 ,1,캠핑장정보 더보기 ,[경상북도 경주시] 커몽 그라운드,None
20,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,5482,전남 곡성군 옥과면 월파로 295 ,1,캠핑장정보 더보기 ,[전라남도 곡성군] (주)온어스빌리지 야영장,None
21,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,6442,충북 단양군 가곡면 새밭로 474 ,1,캠핑장정보 더보기 ,[충청북도 단양군] 소백산 신선펜션 & 캠핑,None
22,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9315,경북 성주군 가천면 동신로 33 ,1,캠핑장정보 더보기 ,[경상북도 성주군] 가야산오토캠핑장,None
23,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7476/thumb/thumb_720_1191mxeszlZxbA0aWkJNd4sQ.jpg"" height=""180"" width=""280"">",None,11131,경북 청도군 운문면 신원3길 74 ,1,캠핑장정보 더보기 ,[경상북도 청도군] 삼계리주말농원캠핑장,None
24,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7383/thumb/thumb_720_1992BFY1gO5xxCYnRfc5qK4s.jpg"" height=""180"" width=""280"">",None,8712,강원 영월군 무릉도원면 도원운학로 591 ,1,캠핑장정보 더보기 ,[강원도 영월군] 청풍명월,None
25,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9849,경기 과천시 대공원광장로 102 (막계동) ,1,캠핑장정보 더보기 ,[경기도 과천시] (주)대산기획피케이씨,None
26,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,8976,인천 중구 대무의로 497 (무의동) ,0,캠핑장정보 더보기 ,[인천시 중구] 바다마을 팬션,None
27,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,20019,서울 성동구 뚝섬로 273 (성수동1가) ,1,캠핑장정보 더보기 ,[서울시 성동구] 성동 서울숲 여름캠핑장(임시캠핑장),None
28,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,8912,제주특별자치도 서귀포시 성산읍 독자봉로51번길 27 ,1,캠핑장정보 더보기 ,[제주도 서귀포시] 국제문화스포츠교육원 제주힐링캠프,None
29,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7291/thumb/thumb_720_2349l1b7Iuhy79OkYFQn9DO3.jpg"" height=""180"" width=""280"">",None,9835,충남 당진시 신평면 산정길 93 ,0,캠핑장정보 더보기 ,[충청남도 당진시] 클럽레스피아in삽교바다공원,None
30,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7165/thumb/thumb_720_9992KSyBtgN1CpG4p3pFwz4f.jpg"" height=""180"" width=""280"">",None,11371,강원도 인제군 북면 용대리 1828-1  ,1,캠핑장정보 더보기 ,[강원도 인제군] 솔밭야영장 ,None
31,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,12232,경기도 김포시 감정동 276-2 ,1,캠핑장정보 더보기 ,[경기도 김포시] 물고기 관광농원,None
32,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,12780,경상남도 거제시 남부면 갈곶리 78-3  ,0,캠핑장정보 더보기 ,[경상남도 거제시] 해금강호텔 야영장,"

전기
놀이터

"
33,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9646,충북 제천시 봉양읍 의암로 345 ,1,캠핑장정보 더보기 ,[충청북도 제천시] 제천공전자연 캠핑장,None
34,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10448,전라남도 신안군 자은면 백산리 산 271-21  ,1,캠핑장정보 더보기 ,[전라남도 신안군] 양산숲오토캠핑장,None
35,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",064--,10217,제주특별자치도 서귀포시 칠십리로 638 (하효동) ,1,캠핑장정보 더보기 ,[제주도 서귀포시] 쇠소깍오토파크,"

전기
온수

"
36,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9040,경남 고성군 삼산면 두포5길 113-109 ,1,캠핑장정보 더보기 ,[경상남도 고성군] 블루비치 관광농원,None
37,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,8871,강원도 화천군 화천읍 동촌리 2421번지 ,0,캠핑장정보 더보기 ,[강원도 화천군] 화천에코스쿨 생태체험장,None
38,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9478,경상북도 청도군 청도읍 원리 908-2 ,0,캠핑장정보 더보기 ,[경상북도 청도군] 허그안 힐링캠프,None
39,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,15671,전라남도 여수시 돌산읍 돌산로 649-12 ,2,캠핑장정보 더보기 ,[전라남도 여수시] 하얀바다 캠핑장,None
40,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,11015,충청남도 아산시 선장면 삼봉로 70  ,0,캠핑장정보 더보기 ,[충청남도 아산시] 캠프도고,"

온수

"
41,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10457,전북 무주군 적상면 괴목로 603-15 ,0,캠핑장정보 더보기 ,[전라북도 무주군] 초록빛언덕글램핑,"

운동시설

"
42,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9376,충청남도 태안군 원북면 청산리 254-11  ,1,캠핑장정보 더보기 ,[충청남도 태안군] 청산야영장,"

전기
와이파이
장작판매
온수
놀이터
운동시설

"
43,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10345,경기도 안성시 양성면 도라지길 29-22 ,1,캠핑장정보 더보기 ,[경기도 안성시] 집보다 캠핑장,None
44,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10358,충청남도 홍성군 서부면 죽도리 18  ,1,캠핑장정보 더보기 ,[충청남도 홍성군] 죽도야영체험장,None
45,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2749/thumb/thumb_720_3646Q2fMslEqNTDSsBbpD2YQ.jpg"" height=""180"" width=""280"">",None,10216,강원도 정선군 북평면 졸드루길 31-57  ,1,캠핑장정보 더보기 ,[강원도 정선군] 졸드루오토캠핑장,"

운동시설

"
46,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10924,경기도 용인시 처인구 원삼면 문촌로 174  ,1,"캠핑장정보 더보기 제일관광캠핑장은 모닥불과 함께 캠핑을 할 수 있는 온 가족 휴식처이다. 캠핑장 내부에는 화장실, 개수대, 매점 등의 ...",[경기도 용인시] 제일관광캠핑장,"

전기
온수
물놀이장
마트.편의점

"
47,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,11476,충청남도 홍성군 홍북면 상하리 88-19  ,1,캠핑장정보 더보기 ,[충청남도 홍성군] 용봉산글램핑,"

전기
온수
물놀이장
운동시설

"
48,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2245/thumb/thumb_720_72836D0HVF3pep95PEml7Zmx.jpg"" height=""180"" width=""280"">",None,14427,경상북도 영주시 풍기읍 수철리 215-1 ,1,캠핑장정보 더보기 ,[경상북도 영주시] 영주시 소백산역 캠핑장,None
49,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2147/thumb/thumb_720_7374QllTfG7jXgZQZjtZ4zpd.jpg"" height=""180"" width=""280"">",None,11603,경상남도 통영시 산양읍 신전리 1401 ,1,"캠핑장정보 더보기 에이원글램핑장리조트는 한국의 나폴리라 불리는 통영시에 위치해 있으며, 통영 바다와 미륵산의 경관을 동시에 즐길 수 있...",[경상남도 통영시] 에이원 글램핑장 리조트 ,"

전기
온수
물놀이장

"
50,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2038/thumb/thumb_720_79872wN24Px6afS0mvrhy7AZ.jpg"" height=""180"" width=""280"">",None,14359,경기도 포천시 창수면 추동리 821-10 외 1필지 ,2,캠핑장정보 더보기 알프스농원 캠핑장은 가래골농원 안에 있는 느낌이 다른 캠핑장이다. 캠핑장 내의 조경시설과 조형물들의 멋진 조화로 아름...,[경기도 포천시] 가래골농원 캠핑장2,"

전기
와이파이
장작판매
온수
트렘폴린
물놀이장
놀이터
운동시설
마트.편의점

"
51,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,11139, ,1,캠핑장정보 더보기 ,[경기도 안성시] 안성맞춤 자동차야영장,"

전기
온수
산책로
운동시설

"
52,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2012/thumb/thumb_720_8935vaq0RZS4xyiCnePatEO3.jpg"" height=""180"" width=""280"">",None,10734,경기도 포천시 신북면 깊이울로 167  아프리카갤러리캠핑장 ,1,"캠핑장정보 더보기 아프리카갤러리 캠핑장은 포천시 신북면에 위치하고 있으며, 아프리카 갤러리와 함께 있는 캠핑장이다. 아프리카 갤러리는 ...",[경기도 포천시] 아프리카갤러리캠핑장 ,"

전기

"
53,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/1771/thumb/thumb_720_2780Ybt3uBzCa8tlK3RcC6Uv.jpg"" height=""180"" width=""280"">",None,11155,인천 옹진군 영흥면 영흥로 708-26 ,1,캠핑장정보 더보기 ,[인천시 옹진군] 솔밭캠핑장,"

전기
장작판매
온수
물놀이장
운동시설

"
54,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9204,충북 단양군 영춘면 의풍리 883 ,0,캠핑장정보 더보기 ,[충청북도 단양군] 소풍관광농원,None
55,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/1706/thumb/thumb_720_1340aquZAoVPXFnz30DKoKPH.jpg"" height=""180"" width=""280"">",None,10507,경기도 포천시 창수면 추동리 825-9 외 3필지 ,1,캠핑장정보 더보기 소나무농원 캠핑장은 가래골농원 안에 있는 느낌이 다른 캠핑장으로 울창한 소나무 그늘이 드리워진 숲 속 사이로 잘 정비...,[경기도 포천시] 소나무농원 캠핑장,"

전기
와이파이
장작판매
온수
트렘폴린
물놀이장
놀이터
운동시설
마트.편의점

"
56,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9474,경기도 양평군 단월면 향소리 124 ,0,캠핑장정보 더보기 ,[경기도 양평군] 세계인의랜드,None
57,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,16950,전라북도 고창군 아산면 삼인리 392-5 선운산도립공원 ,1,캠핑장정보 더보기 ,[전라북도 고창군] 선운산도립공원야영장,None
58,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/1649/thumb/thumb_720_0636FeSmX85RoG8dw0gFTHkS.jpg"" height=""180"" width=""280"">",None,9400,강원도 영월군 수주면 백년계곡길 52  ,1,캠핑장정보 더보기 ,[강원도 영월군] 석천캠핑장,"

전기
장작판매
온수
운동시설

"
59,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10789,경기도 안성시 서운면 인리 330-7 ,1,캠핑장정보 더보기 ,[경기도 안성시] 샤토안오토캠핑장 ,"

물놀이장

"
60,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,11237,경남 진주시 미천면 어옥로 3 ,0,캠핑장정보 더보기 ,[경상남도 진주시] 생각나무자연학교,"

전기
온수
물놀이장
산책로
운동장
운동시설

"
61,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/1551/thumb/thumb_720_09370Kb2ZwGbD3RfsDE3bAHu.jpg"" height=""180"" width=""280"">",None,12841,강원 강릉시 연곡면 진고개로 1296 ,1,캠핑장정보 더보기 ,[강원도 강릉시] 삼산야영장,"

전기
장작판매

"
62,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/1468/thumb/thumb_720_9529efHHu0zIGUdWlYxFUqPk.jpg"" height=""180"" width=""280"">",None,13415,경상남도 남해군 남면 임포리  1173-1 ,1,"캠핑장정보 더보기 사촌해수욕장은 남해 남면에 위치해 있는 결코 요란하거나 수다스럽지 않은, 아담한 백사장 해변이다. 백사장은 650미터...",[경상남도 남해군] 사촌해수욕장야영장 ,"

놀이터
운동시설
마트.편의점

"
63,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,14897,전라북도 임실군 관촌면 관촌리  1010-17 ,1,캠핑장정보 더보기 ,[전라북도 임실군] 사선대캠핑장,"

전기
온수
물놀이장
운동시설

"
64,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9811,충청북도 진천군 진천읍 건송리  638-2 ,0,캠핑장정보 더보기 ,[충청북도 진천군] 베이스캠프 캠핑장,None
65,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9293,제주특별자치도 서귀포시 안덕면 동광리  1583,1,캠핑장정보 더보기 ,[제주도 서귀포시] 동광농촌체험마을 ,None
66,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9784,강원도 횡성군 갑천면 외갑천로 301  당평오토캠핑장 ,1,캠핑장정보 더보기 ,[강원도 횡성군] 당평오토캠핑장,None
67,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,10862,전라남도 담양군 금성면 비내동길 148  담양 대나무골 야영장 ,1,캠핑장정보 더보기 ,[전라남도 담양군] 담양 대나무골 야영장 ,None
68,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/697/thumb/thumb_720_44774g0CV82mTlMqfBz4ijY5.jpg"" height=""180"" width=""280"">",None,10766,경상남도 거창군 북상면 덕유월성로 1433-7  달빛고운 월성마을 ,0,캠핑장정보 더보기 달빛고운 월성자연학습관은 폐교를 리모델링해 만든 학습관이다. 달빛고운마을에서 운영하는 지역편의시설로 캠핑과 자연체험학...,[경상남도 거창군] 달빛고운 월성캠핑장,"

전기
온수
놀이터
산책로
운동시설
마트.편의점

"
69,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9912,경기도 연천군 청정로918번길 123-0  다솔관광농원 ,1,캠핑장정보 더보기 ,[경기도 연천군] 다솔관광농원,None
70,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,12264,경상북도 구미시 남통동  산147 ,1,캠핑장정보 더보기 ,[경상북도 구미시] 금오산 야영장,"

물놀이장

"
71,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,13674,경기도 포천시 소홀읍 직동리 281 광릉분재예술공원 캠핑장 ,1,캠핑장정보 더보기 ,[경기도 포천시] 광릉분재예술공원 캠핑장 ,None
72,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,13988,충청남도 서산시 부석면 간월도리 21-20  ,1,캠핑장정보 더보기 ,[충청남도 서산시] 간월도캠핑장,"

전기
장작판매
온수
산책로

"
73,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",010-8866-8343,11344,경북 영천시 북안면 상리중앙길 50-21 ,1,캠핑장정보 더보기 ,[경상북도 영천시] 영천 구룡산 오토캠핑장,None
74,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2143/thumb/thumb_720_53247cXru6Z8lN7atduEwm8d.jpg"" height=""180"" width=""280"">",031-834-8408,11207,경기도 연천군 신서면 연신로 866  에브라임캠핑장 ,1,캠핑장정보 더보기 ,[경기도 연천군] 에브라임캠핑장 ,"

전기
와이파이
장작판매
온수
트렘폴린
놀이터
운동장
운동시설

"
75,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/3412/thumb/thumb_720_1814E0IHk8L45YMDFOBLuXiU.jpg"" height=""180"" width=""280"">",None,16053,경남 산청군 금서면 동의보감로555번길 167-23 ,1,캠핑장정보 더보기 한방자연휴양림은 면적 939.440㎡의 넓은 부지로 최대인원 160명까지 시설 이용이 가능한 휴양림이다. 휴양림 시설...,[경상남도 산청군] 한방자연휴양림,"

전기
와이파이
온수
물놀이장
산책로
운동장
마트.편의점

"
76,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7466/thumb/thumb_720_0762mPMFITpcRDoNSww4AQ9t.jpg"" height=""180"" width=""280"">",054-741-7700,11311,경북 경주시 천북면 물천안길 31 ,1,캠핑장정보 더보기 ,[경상북도 경주시] 경주생태원캠핑장,None
77,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,9771,경상북도 봉화군 소천면 현동리 702-11 ,1,캠핑장정보 더보기 ,[경상북도 봉화군] 무학봉 야영장,None
78,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,1600,인천 옹진군 영흥면 영흥서로380번길 101-89 ,1,캠핑장정보 더보기 ,[인천시 옹진군] (주)더사칠공 야영장,None
79,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/2966/thumb/thumb_720_02987FoKrGQCJIfTYq048b4n.jpg"" height=""180"" width=""280"">",None,15350,충청북도 충주시 중앙탑면 감노로 2003  ,2,"캠핑장정보 더보기 파이브스톤즈가든은 충북 충주시 중앙탑면에 자리 잡고 있다. 충주시청을 기점으로 약 13km 거리에 있으며, 자동차를 ...",[충청북도 충주시] 초원오토캠핑장,"

전기
장작판매
온수
물놀이장
놀이터
운동시설
마트.편의점

"
80,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7547/thumb/thumb_720_6127lLRmf2xyuCila9cGvLFr.jpg"" height=""180"" width=""280"">",None,12851,경기 의정부시 창포원로 81 (호원동) ,1,캠핑장정보 더보기 의정부 나들목 바로 앞에 위치한 야영장으로 의정부시에서 운영하는 공공캠핑장이다. 창포원 체육공원 옆에 붙어 있는 데 ...,[경기도 의정부시] 도봉야영장,None
